Model,Time (s)
KNN,0.015424489974975586
Gaussian NB,0.058630943298339844
Decision Tree,0.5486438274383545
Newton's Method,0.5719437599182129
Logistic Regression,0.9440169334411621
Random Forest,3.2967116832733154
Neural Network,19.667361736297607
SVM,1691.3304908275604
